127.0.0.1 - - [06/Apr/2021:21:31:27 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:31:28 -0300] "GET /IMC/index.html HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:31:57 -0300] "GET /IMC/index.html HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:31:57 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:32:09 -0300] "GET /IMC/index1_resp.jsp?peso=76&altura=2&enviar=Calcula+IMC HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:32:09 -0300] "GET /IMC/index1_resp.jsp?peso=76&altura=2&enviar=Calcula+IMC HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:32:09 -0300] "GET /IMC/index1_resp.jsp?peso=76&altura=2&enviar=Calcula+IMC HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:32:58 -0300] "GET /IMC/index1_resp.jsp?peso=81&altura=1.75&enviar=Calcula+IMC HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:32:59 -0300] "GET /IMC/index1_resp.jsp?peso=81&altura=1.75&enviar=Calcula+IMC HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:33:46 -0300] "GET /IMC/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:33:49 -0300] "GET /IMC/index1_resp.jsp?peso=81&altura=&enviar=Calcula+IMC HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:33:58 -0300] "GET /IMC/index1_resp.jsp?peso=81&altura=1.75&enviar=Calcula+IMC HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:34:39 -0300] "GET /IMC/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:35:35 -0300] "GET /IMC/index.html HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:36:00 -0300] "GET /IMC/index.html HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:36:56 -0300] "GET /IMC/index.html HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:38:11 -0300] "GET /IMC/index.html HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:38:18 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:41:31 -0300] "GET /IMC/index.html HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:41:35 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:54:18 -0300] "GET /IMC/index.html HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:54:28 -0300] "GET /IMC/index1_resp.jsp?peso=80&altura=1.75&enviar=Calcula+IMC HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:54:36 -0300] "GET /IMC/index1_resp.jsp?peso=76&altura=1.75&enviar=Calcula+IMC HTTP/1.1" 200 216
